File,Line,Error_Type,Message_Template
"src/codegen/lower/mod.rs",3910,codegen,"CompileError::codegen(format!("generator local variable '{}' not found in pre-declared slots", name.node))"
"src/codegen/lower/mod.rs",4090,codegen,"CompileError::codegen(format!("generator for-loop variable '{}' not found", var.node))"
"src/codegen/lower/mod.rs",4153,codegen,"CompileError::codegen(format!("generator for-loop variable '{}' not found", var.node))"
"src/monomorphize.rs",90,type_err,".ok_or_else(|| CompileError::type_err(format!("generic function '{}' not found", name), Span::dummy()))?"
"src/monomorphize.rs",131,type_err,".ok_or_else(|| CompileError::type_err(format!("generic class '{}' not found", name), Span::dummy()))?"
"src/monomorphize.rs",1484,type_err,"return Err(CompileError::type_err("
"src/watch.rs",20,codegen,".map_err(|e| CompileError::codegen(format!("failed to spawn process: {}", e)))?;"
"src/watch.rs",32,codegen,".map_err(|e| CompileError::codegen(format!("failed to watch file {}: {}", file.display(), e)))?;"
"src/watch.rs",45,codegen,".map_err(|e| CompileError::codegen(format!("failed to kill process: {}", e)))?;"
"src/watch.rs",189,codegen,".map_err(|e| CompileError::codegen(format!("failed to create file watcher: {}", e)))"
"src/watch.rs",216,codegen,".map_err(|e| CompileError::codegen(format!("failed to watch file {}: {}", file.display(), e)))?;"
"src/modules.rs",50,codegen,"CompileError::codegen(format!("could not read '{}': {e}", path.display()))"
"src/modules.rs",74,codegen,"return Err(CompileError::codegen(format!("
"src/modules.rs",98,codegen,"CompileError::codegen(format!("could not read directory '{}': {e}", dir.display()))"
"src/modules.rs",118,codegen,"return Err(CompileError::codegen(format!("
"src/modules.rs",127,codegen,"return Err(CompileError::codegen(format!("
"src/modules.rs",139,codegen,"return Err(CompileError::codegen(format!("
"src/modules.rs",176,syntax,"return Err(CompileError::syntax("
"src/modules.rs",192,codegen,"return Err(CompileError::codegen(format!("
"src/modules.rs",206,syntax,"Err(CompileError::syntax("
"src/modules.rs",244,syntax,"return Err(CompileError::syntax("
"src/modules.rs",262,syntax,"return Err(CompileError::syntax("
"src/modules.rs",271,codegen,"CompileError::codegen(format!("cannot resolve dep path '{}': {e}", dep_path.display()))"
"src/modules.rs",283,codegen,"return Err(CompileError::codegen(format!("
"src/modules.rs",295,syntax,"return Err(CompileError::syntax("
"src/modules.rs",310,syntax,"return Err(CompileError::syntax("
"src/modules.rs",326,syntax,"return Err(CompileError::syntax("
"src/modules.rs",336,codegen,"CompileError::codegen(format!("cannot resolve dep path '{}': {e}", dep_path.display()))"
"src/modules.rs",366,codegen,"return Err(CompileError::codegen(format!("
"src/modules.rs",382,codegen,"return Err(CompileError::codegen(msg));"
"src/modules.rs",464,codegen,"return Err(CompileError::codegen(format!("
"src/modules.rs",569,codegen,"CompileError::codegen(format!("could not resolve path '{}': {e}", entry_file.display()))"
"src/modules.rs",572,codegen,"CompileError::codegen("entry file has no parent directory")"
"src/modules.rs",612,codegen,"CompileError::codegen(format!("could not read directory '{}': {e}", entry_dir.display()))"
"src/modules.rs",648,codegen,"return Err(CompileError::codegen("
"src/modules.rs",656,codegen,"return Err(CompileError::codegen("
"src/modules.rs",680,syntax,"return Err(CompileError::syntax("
"src/modules.rs",698,syntax,"return Err(CompileError::syntax("
"src/modules.rs",707,codegen,"CompileError::codegen(format!("cannot resolve dep path '{}': {e}", dep_path.display()))"
"src/modules.rs",718,codegen,"return Err(CompileError::codegen(format!("
"src/modules.rs",730,syntax,"return Err(CompileError::syntax("
"src/modules.rs",745,syntax,"return Err(CompileError::syntax("
"src/modules.rs",761,syntax,"return Err(CompileError::syntax("
"src/modules.rs",770,codegen,"CompileError::codegen(format!("cannot resolve dep path '{}': {e}", dep_path.display()))"
"src/diagnostics/mod.rs",77,,"CompileError::Syntax { msg, span } | CompileError::Type { msg, span } => {"
"src/diagnostics/mod.rs",78,,"let kind_str = if matches!(err, CompileError::Syntax { .. }) { "syntax" } else { "type" };"
"src/diagnostics/mod.rs",89,,"CompileError::Codegen { msg } | CompileError::Link { msg } => {"
"src/diagnostics/mod.rs",92,,"CompileError::Manifest { msg, path } => {"
"src/prelude.rs",49,type_err,"return Err(CompileError::type_err("
"src/prelude.rs",61,type_err,"return Err(CompileError::type_err("
"src/prelude.rs",73,type_err,"return Err(CompileError::type_err("
"src/prelude.rs",85,type_err,"return Err(CompileError::type_err("
"src/contracts.rs",89,syntax,"Err(CompileError::syntax("
"src/contracts.rs",105,syntax,"Err(CompileError::syntax("
"src/contracts.rs",111,syntax,"Err(CompileError::syntax("
"src/contracts.rs",122,syntax,"Expr::NullPropagate { .. } => Err(CompileError::syntax("
"src/contracts.rs",128,syntax,"Expr::StringLit(_) => Err(CompileError::syntax("
"src/contracts.rs",132,syntax,"Expr::StringInterp { .. } => Err(CompileError::syntax("
"src/contracts.rs",136,syntax,"Expr::StructLit { .. } => Err(CompileError::syntax("
"src/contracts.rs",140,syntax,"Expr::ArrayLit { .. } => Err(CompileError::syntax("
"src/contracts.rs",144,syntax,"Expr::MapLit { .. } => Err(CompileError::syntax("
"src/contracts.rs",148,syntax,"Expr::SetLit { .. } => Err(CompileError::syntax("
"src/contracts.rs",152,syntax,"Expr::Closure { .. } | Expr::ClosureCreate { .. } => Err(CompileError::syntax("
"src/contracts.rs",156,syntax,"Expr::Spawn { .. } => Err(CompileError::syntax("
"src/contracts.rs",160,syntax,"Expr::Cast { .. } => Err(CompileError::syntax("
"src/contracts.rs",164,syntax,"Expr::Index { .. } => Err(CompileError::syntax("
"src/contracts.rs",168,syntax,"Expr::Range { .. } => Err(CompileError::syntax("
"src/contracts.rs",172,syntax,"Expr::Propagate { .. } => Err(CompileError::syntax("
"src/contracts.rs",176,syntax,"Expr::Catch { .. } => Err(CompileError::syntax("
